Date,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Total_Demanda_Dia
2024-01-03,1081,7927.95,8065.5,8045.25,8142.92,8270.7,8181.79,8497.64,8850.88,8597.04,8163.09,8135.56,8646.83,8344.45,8396.56,8194.99,8305.02,8416.29,8527.52,8419.5,8431.88,8445.3,8273.21,8338.37,8317.78,199936.02
2024-01-03,1082,15348.11,14988.72,16135.95,16322.82,16310.2,16539.76,17026.14,15018.98,13361.3,12146.61,12199.9,12045.3,12586.14,12233.87,11744.61,12625.63,14489.54,17877.15,18430.67,18476.23,18629.34,17792.69,17128.66,17286.61,366744.9299999999
2024-01-03,1083,146.81,149.62,147.77,148.94,147.37,160.65,205.91,256.75,303.29,448.72,580.85,549.58,478.31,266.86,503.99,828.25,885.84,998.84,1066.79,988.35,1006.82,1141.58,1191.12,1395.54,13998.55
2024-01-03,1084,429.28,442.42,423.43,434.36,518.95,542.49,501.49,636.48,633.01,683.14,752.69,738.91,757.74,750.39,578.8,480.53,593.11,548.33,429.66,457.31,363.54,361.64,415.33,431.87,12904.9
2024-01-03,1089,15881.34,15912.13,15948.57,16122.25,16387.95,16373.12,17270.48,18032.92,17641.2,17289.27,17325.96,17361.27,17705.72,17715.94,18086.35,19009.18,18930.81,18576.47,18841.07,18782.12,18769.72,17905.08,17348.26,17635.04,420852.2200000001
2024-01-03,1090,38707.99,38377.55,37296.13,38723.23,38435.26,37863.22,37153.71,38750.48,37361.16,36115.26,34665.9,34473.22,35167.6,36042.19,36501.52,38852.89,39668.81,41245.0,40628.81,42372.57,43329.81,41750.13,39562.71,40091.31,923136.4599999997
2024-01-03,1101,3548.57,3658.45,3583.57,3870.79,3621.43,3238.55,3667.7,3669.63,3606.13,3907.6,3796.39,4036.42,4102.31,4085.87,4678.15,4450.08,4337.17,4147.07,4563.05,4610.6,4730.08,4716.2,4785.36,4766.33,98177.50000000001
2024-01-03,1102,125.91,120.65,110.46,120.64,131.31,128.74,140.96,271.08,336.62,338.83,355.07,360.61,361.09,404.03,452.38,436.45,401.85,322.81,246.94,149.91,154.81,149.51,145.98,136.59,5903.2300000000005
2024-01-03,1103,32777.22,33851.25,35031.95,33799.56,35205.45,34569.69,33421.93,33984.91,33710.64,33150.0,33715.29,33589.2,33771.43,33996.73,34253.01,34294.17,34317.59,35297.78,35610.96,35625.46,35109.43,35588.95,34650.58,34684.34,824007.5199999998
2024-01-03,1104,34422.1,35733.29,36615.17,35304.35,35170.7,33883.66,36690.98,36992.92,35829.68,35085.78,35624.52,34964.17,36312.31,34504.41,35385.96,33350.04,34463.48,36207.62,37428.89,37611.64,37593.68,37660.87,37125.38,36021.58,859983.18
2024-01-04,1011,29782.12,29061.06,29008.53,27692.26,28477.26,28336.72,30470.67,32632.28,33170.75,32946.93,33818.78,34588.05,34667.12,34914.68,35799.93,36250.92,36438.52,35381.01,34598.28,33759.01,33489.87,32051.57,31499.5,30912.87,779748.69
2024-01-04,1012,3414.78,3326.9,3312.74,3243.68,3210.37,3242.99,3323.9,3542.99,3918.05,4386.16,4592.17,4690.8,4625.76,4589.5,4408.24,4389.7,4398.65,3894.62,4005.69,3921.26,3663.63,3648.42,3647.56,3540.05,92938.60999999999
2024-01-04,1020,4970.28,4766.64,4771.05,4848.15,4819.51,5072.05,5356.39,5505.85,5571.09,5587.91,5756.75,6159.97,6148.63,6062.27,6257.57,6222.73,6296.77,5837.69,5744.18,5623.06,5547.88,5666.05,5712.84,5755.94,134061.25
2024-01-04,1030,20726.33,21210.84,20494.83,20293.02,20000.3,19464.67,20549.43,20989.86,21040.98,21671.18,21183.0,21450.07,21464.29,21868.36,21999.69,23538.56,24055.75,23556.44,23878.22,23536.83,23918.96,23545.96,23336.75,23202.93,526977.2500000001
2024-01-04,1040,29785.11,29595.15,29455.57,29354.62,29260.62,29606.66,30839.23,32059.24,33518.01,34223.71,34854.94,35035.86,34539.59,33981.24,33530.43,34535.45,34893.61,34063.16,33965.77,34246.56,33619.3,31782.78,30583.55,30490.09,777820.2500000001
2024-01-04,1051,27641.88,27207.89,26046.48,25616.12,24720.18,24755.29,26347.13,29436.91,32695.29,32827.83,33552.89,33300.87,32453.71,33703.81,33727.87,33175.92,34993.73,35259.0,34731.52,35825.46,35434.41,33985.64,32321.34,32620.45,752381.62
2024-01-04,1052,1354.01,2242.08,4303.81,5126.46,5203.75,5367.8,5366.82,5339.25,2160.4,1445.08,1377.95,1379.91,1586.76,1680.5,1954.81,4968.62,5146.84,5173.74,4806.19,5256.51,5258.03,4984.37,4942.14,4998.02,91423.84999999999
